page,before,after
the-shelton.html,"The Shelton condo building file: Preston Ctr & NW Hwy, Dallas. HOA dues, floor plans, policies, taxes, documents and sales tracking.","The Shelton (Preston Ctr & NW Hwy, Dallas): built 1983, 100 residential accounts on the 2026 roll. Dues, policies, and transfer tempo — the independent building file."
the-mayfair.html,"The Mayfair condo building file: Turtle Creek, Dallas. HOA dues, floor plans, policies, taxes, documents and sales tracking.","The Mayfair (Turtle Creek, Dallas): built 1998, 132 residential accounts on the 2026 roll. Dues, policies, and transfer tempo — the independent building file."
w-dallas-residences.html,"W Dallas Residences condo building file: Victory Park, Dallas. HOA dues, floor plans, policies, taxes, documents and sales tracking.","W Dallas Residences (Victory Park, Dallas): built 2006, 131 residential accounts on the 2026 roll. Dues, policies, and transfer tempo — the independent building file."
parkside-condominiums.html,"Parkside Condominiums condo building file: Uptown, Dallas. HOA dues, floor plans, policies, taxes, documents and sales tracking.","Parkside Condominiums (Uptown, Dallas): built 1983, 75 residential accounts on the 2026 roll. Dues, policies, and transfer tempo — the independent building file."
the-terminal-at-katy-trail.html,"The Terminal at Katy Trail condo building file: Knox / Katy Trail, Dallas. HOA dues, floor plans, policies, taxes, documents and sales tracking.","The Terminal at Katy Trail (Knox / Katy Trail, Dallas): built 2022, 16 residential accounts on the 2026 roll. Dues, policies, and transfer tempo — the independent building file."
mercer-square.html,"Mercer Square condo building file: Uptown, Dallas. HOA dues, floor plans, policies, taxes, documents and sales tracking.","Mercer Square (Uptown, Dallas): built 2006, 75 residential accounts on the 2026 roll. Dues, policies, and transfer tempo — the independent building file."
villa-de-leon.html,"Villa de Leon condo building file: Trinity Bluff · Samuels Ave, Fort Worth. HOA dues, floor plans, policies, taxes, documents and sales tracking.","Villa de Leon (Trinity Bluff · Samuels Ave, Fort Worth): built 2008, 24 units on file. Dues, policies, and transfer tempo — the independent building file."
ltd-edition-2505.html,"LTD Edition 2505 condo building file: Turtle Creek, Dallas. HOA dues, floor plans, policies, taxes, documents and sales tracking.","LTD Edition 2505 (Turtle Creek, Dallas): built 2010s. Dues, policies, and transfer tempo — the independent building file."
plaza-at-turtle-creek-i.html,"Plaza at Turtle Creek I condo building file: Turtle Creek, Dallas. HOA dues, floor plans, policies, taxes, documents and sales tracking.","Plaza at Turtle Creek I (Turtle Creek, Dallas): built 1980s, 47 residential accounts on the 2026 roll. Dues, policies, and transfer tempo — the independent building file."
the-beat-at-south-side-station.html,"The Beat at South Side Station condo building file: The Cedars, Dallas. HOA dues, floor plans, policies, taxes, documents and sales tracking.","The Beat at South Side Station (The Cedars, Dallas): built 2007, 66 residential accounts on the 2026 roll. Dues, policies, and transfer tempo — the independent building file."
azure.html,"Azure condo building file: Harwood, Dallas. HOA dues, floor plans, policies, taxes, documents and sales tracking.","Azure (Harwood, Dallas): built 2007, 138 residential accounts on the 2026 roll, median 1,512 sf. Dues, policies, and transfer tempo — the independent building file."
centrum-tower.html,"Centrum Tower condo building file: Oak Lawn, Dallas. HOA dues, floor plans, policies, taxes, documents and sales tracking.","Centrum Tower (Oak Lawn, Dallas): built 1985, 30 residential accounts on the 2026 roll. Dues, policies, and transfer tempo — the independent building file."
park-plaza.html,"Park Plaza condo building file: Turtle Creek, Dallas. HOA dues, floor plans, policies, taxes, documents and sales tracking.","Park Plaza (Turtle Creek, Dallas): . Dues, policies, and transfer tempo — the independent building file."
lone-star-tower.html,"Lone Star Tower condo building file: Texas Motor Speedway, Fort Worth. HOA dues, floor plans, policies, taxes, documents and sales tracking.","Lone Star Tower (Texas Motor Speedway, Fort Worth): built 1997–98, 76 units on file. Dues, policies, and transfer tempo — the independent building file."
the-knox-residences-auberge.html,"The Knox Residences (Auberge) condo building file: Knox / Henderson, Dallas. HOA dues, floor plans, policies, taxes, documents and sales tracking.","The Knox Residences (Auberge) (Knox / Henderson, Dallas): built 2026, 48 units on file. Dues, policies, and transfer tempo — the independent building file."
art-house-at-so7.html,"Art House at So7 condo building file: Cultural District · So7, Fort Worth. HOA dues, floor plans, policies, taxes, documents and sales tracking.","Art House at So7 (Cultural District · So7, Fort Worth): built 2000, 63 units on file. Dues, policies, and transfer tempo — the independent building file."
victory-park-terrace.html,"Victory Park Terrace condo building file: Victory Park, Dallas. HOA dues, floor plans, policies, taxes, documents and sales tracking.","Victory Park Terrace (Victory Park, Dallas): built 2005, 81 residential accounts on the 2026 roll. Dues, policies, and transfer tempo — the independent building file."
westview.html,"Westview condo building file: West Fort Worth, Fort Worth. HOA dues, floor plans, policies, taxes, documents and sales tracking.","Westview (West Fort Worth, Fort Worth): . Dues, policies, and transfer tempo — the independent building file."
alix-condos.html,"Alix Condos condo building file: Oak Lawn, Dallas. HOA dues, floor plans, policies, taxes, documents and sales tracking.","Alix Condos (Oak Lawn, Dallas): built 2008, 18 residential accounts on the 2026 roll. Dues, policies, and transfer tempo — the independent building file."
the-sorrento.html,"The Sorrento condo building file: Preston Hollow, Dallas. HOA dues, floor plans, policies, taxes, documents and sales tracking.","The Sorrento (Preston Hollow, Dallas): built 2006, 84 residential accounts on the 2026 roll. Dues, policies, and transfer tempo — the independent building file."
the-warrington.html,"The Warrington condo building file: Turtle Creek, Dallas. HOA dues, floor plans, policies, taxes, documents and sales tracking.","The Warrington (Turtle Creek, Dallas): built 1981, 125 residential accounts on the 2026 roll. Dues, policies, and transfer tempo — the independent building file."
forest-park-tower.html,"Forest Park Tower condo building file: Forest Park · South Side, Fort Worth. HOA dues, floor plans, policies, taxes, documents and sales tracking.","Forest Park Tower (Forest Park · South Side, Fort Worth): built 1927–30, 36 units on file. Dues, policies, and transfer tempo — the independent building file."
park-towers.html,"Park Towers condo building file: Oak Lawn, Dallas. HOA dues, floor plans, policies, taxes, documents and sales tracking.","Park Towers (Oak Lawn, Dallas): built 1964, 80 residential accounts on the 2026 roll. Dues, policies, and transfer tempo — the independent building file."
museum-tower.html,"Museum Tower, Dallas Arts District: the deep building file — 42 floors, county-certified unit data, dues, policies, history, and sales tempo.","Museum Tower (Arts District, Dallas): built 2013, 104 residential accounts on the 2026 roll. Dues, policies, and transfer tempo — the independent building file."
buzz-condos.html,"Buzz Condos condo building file: The Cedars, Dallas. HOA dues, floor plans, policies, taxes, documents and sales tracking.","Buzz Condos (The Cedars, Dallas): built 2006, 39 residential accounts on the 2026 roll. Dues, policies, and transfer tempo — the independent building file."
509-elm-place-lofts.html,"509 Elm Place Lofts condo building file: Downtown, Dallas. HOA dues, floor plans, policies, taxes, documents and sales tracking.","509 Elm Place Lofts (Downtown, Dallas): built 1930, 25 residential accounts on the 2026 roll. Dues, policies, and transfer tempo — the independent building file."
the-grand-treviso.html,"The Grand Treviso condo building file: Las Colinas · Irving, Beyond the core. HOA dues, floor plans, policies, taxes, documents and sales tracking.","The Grand Treviso (Las Colinas · Irving, DFW): built 2001, 205 residential accounts on the 2026 roll. Dues, policies, and transfer tempo — the independent building file."
preston-tower.html,"Preston Tower condo building file: Preston Ctr & NW Hwy, Dallas. HOA dues, floor plans, policies, taxes, documents and sales tracking.","Preston Tower (Preston Ctr & NW Hwy, Dallas): built 1966, 261 residential accounts on the 2026 roll. Dues, policies, and transfer tempo — the independent building file."
the-metropolitan.html,"The Metropolitan condo building file: Downtown, Dallas. HOA dues, floor plans, policies, taxes, documents and sales tracking.","The Metropolitan (Downtown, Dallas): built 2005, 223 residential accounts on the 2026 roll. Dues, policies, and transfer tempo — the independent building file."
houston-place-lofts.html,"Houston Place Lofts condo building file: Downtown FW, Fort Worth. HOA dues, floor plans, policies, taxes, documents and sales tracking.","Houston Place Lofts (Downtown FW, Fort Worth): built 2005, 30 units on file. Dues, policies, and transfer tempo — the independent building file."
2011-cedar-springs-lofts.html,"2011 Cedar Springs Lofts condo building file: Uptown, Dallas. HOA dues, floor plans, policies, taxes, documents and sales tracking.","2011 Cedar Springs Lofts (Uptown, Dallas): built 1999, 42 residential accounts on the 2026 roll. Dues, policies, and transfer tempo — the independent building file."
the-vendome.html,"The Vendome condo building file: Turtle Creek, Dallas. HOA dues, floor plans, policies, taxes, documents and sales tracking.","The Vendome (Turtle Creek, Dallas): built 2000, 109 residential accounts on the 2026 roll. Dues, policies, and transfer tempo — the independent building file."
one-montgomery-plaza-residences.html,"One Montgomery Plaza Residences condo building file: West 7th, Fort Worth. HOA dues, floor plans, policies, taxes, documents and sales tracking.","One Montgomery Plaza Residences (West 7th, Fort Worth): built 2007, 240 units on file. Dues, policies, and transfer tempo — the independent building file."
plaza-at-turtle-creek-ii.html,"Plaza at Turtle Creek II condo building file: Turtle Creek, Dallas. HOA dues, floor plans, policies, taxes, documents and sales tracking.","Plaza at Turtle Creek II (Turtle Creek, Dallas): built 1980s, 96 residential accounts on the 2026 roll. Dues, policies, and transfer tempo — the independent building file."
main-7.html,"Main 7 condo building file: Downtown FW, Fort Worth. HOA dues, floor plans, policies, taxes, documents and sales tracking.","Main 7 (Downtown FW, Fort Worth): . Dues, policies, and transfer tempo — the independent building file."
588-lofts.html,"588 Lofts condo building file: Uptown, Dallas. HOA dues, floor plans, policies, taxes, documents and sales tracking.","588 Lofts (Uptown, Dallas): built 1998, 104 residential accounts on the 2026 roll, median 1,073 sf. Dues, policies, and transfer tempo — the independent building file."
beverly-on-turtle-creek.html,"Beverly on Turtle Creek condo building file: Turtle Creek, Dallas. HOA dues, floor plans, policies, taxes, documents and sales tracking.","Beverly on Turtle Creek (Turtle Creek, Dallas): built 1981, 37 residential accounts on the 2026 roll. Dues, policies, and transfer tempo — the independent building file."
la-tour.html,"La Tour condo building file: Uptown, Dallas. HOA dues, floor plans, policies, taxes, documents and sales tracking.","La Tour (Uptown, Dallas): built 1981, 95 residential accounts on the 2026 roll, median 1,353 sf. Dues, policies, and transfer tempo — the independent building file."
pecan-place.html,"Pecan Place condo building file: Downtown FW, Fort Worth. HOA dues, floor plans, policies, taxes, documents and sales tracking.","Pecan Place (Downtown FW, Fort Worth): built 2004, 9 units on file. Dues, policies, and transfer tempo — the independent building file."
